      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
**** typo3-php5-c1 ****
2015-12-19 19:04:53,    200,       2.73,           0,       0.01,       73.26,        0.00,        0.99,     200,       0
**** typo3-php5-c10 ****
2015-12-19 19:05:02,   2000,       8.99,           8,       0.04,      222.47,        0.89,        9.70,    2000,       0
**** typo3-php5-c20 ****
2015-12-19 19:05:20,   4000,      17.85,          16,       0.09,      224.09,        0.90,       19.57,    4000,       0
**** typo3-php5-c50 ****
2015-12-19 19:06:04,  10000,      44.28,          41,       0.22,      225.84,        0.93,       48.83,   10000,       0
**** typo3-php5-c100 ****
2015-12-19 19:07:32,  20000,      88.30,          82,       0.43,      226.50,        0.93,       98.20,   20000,       0
**** typo3-php5-c200 ****
2015-12-19 19:10:27,  39973,     174.69,         165,       0.87,      228.82,        0.94,      198.03,   39973,      27
**** typo3-php5-c300 ****
2015-12-19 19:10:28,    229,       1.06,           1,       0.82,      216.04,        0.94,      177.34,     229,    1095
**** typo3-php5-c400 ****
2015-12-19 19:10:29,    309,       1.39,           1,       0.99,      222.30,        0.72,      219.47,     309,    1116
**** typo3-php5-c500 ****
2015-12-19 19:10:31,    348,       1.56,           1,       1.12,      223.08,        0.64,      250.50,     348,    1179
**** typo3-php7-c1 ****
2015-12-19 19:10:43,    200,       1.86,           0,       0.01,      107.53,        0.00,        1.00,     200,       0
**** typo3-php7-c10 ****
2015-12-19 19:10:48,   2000,       4.70,           8,       0.02,      425.53,        1.70,        9.81,    2000,       0
**** typo3-php7-c20 ****
2015-12-19 19:10:57,   4000,       9.37,          16,       0.05,      426.89,        1.71,       19.50,    4000,       0
**** typo3-php7-c50 ****
2015-12-19 19:11:21,  10000,      24.03,          41,       0.12,      416.15,        1.71,       49.15,   10000,       0
**** typo3-php7-c100 ****
2015-12-19 19:12:10,  20000,      49.45,          82,       0.24,      404.45,        1.66,       98.42,   20000,       0
**** typo3-php7-c200 ****
2015-12-19 19:13:54,  39085,     103.31,         161,       0.52,      378.33,        1.56,      195.57,   39085,     915
**** typo3-php7-c300 ****
2015-12-19 19:13:55,    263,       0.73,           1,       0.54,      360.27,        1.37,      193.62,     263,    1086
**** typo3-php7-c400 ****
2015-12-19 19:13:56,    327,       1.21,           1,       0.72,      270.25,        0.83,      195.26,     327,    1114
**** typo3-php7-c500 ****
2015-12-19 19:13:57,    400,       1.45,           1,       0.96,      275.86,        0.69,      264.54,     400,    1129
**** typo3-hhvm-c1 ****
2015-12-19 19:14:09,    200,       1.42,           0,       0.01,      140.85,        0.00,        1.00,     200,       0
**** typo3-hhvm-c10 ****
2015-12-19 19:14:13,   2000,       3.89,           7,       0.02,      514.14,        1.80,        9.88,    2000,       0
**** typo3-hhvm-c20 ****
2015-12-19 19:14:21,   4000,       8.00,          15,       0.04,      500.00,        1.88,       19.83,    4000,       0
**** typo3-hhvm-c50 ****
2015-12-19 19:14:40,  10000,      19.61,          39,       0.10,      509.94,        1.99,       49.81,   10000,       0
**** typo3-hhvm-c100 ****
2015-12-19 19:15:20,  20000,      39.53,          79,       0.20,      505.94,        2.00,       99.70,   20000,       0
**** typo3-hhvm-c200 ****
2015-12-19 19:16:40,  40000,      79.80,         159,       0.40,      501.25,        1.99,      199.43,   40000,       0
**** typo3-hhvm-c300 ****
2015-12-19 19:18:40,  59961,     120.18,         239,       0.60,      498.93,        1.99,      299.07,   59961,      39
**** typo3-hhvm-c400 ****
2015-12-19 19:21:20,  80000,     160.36,         319,       0.80,      498.88,        1.99,      398.49,   80000,       0
**** typo3-hhvm-c500 ****
2015-12-19 19:21:21,    517,       1.25,           2,       0.60,      413.60,        1.60,      246.42,     517,    1025
